timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1739580025465,17,Update Book-0,302,,MainThreadGroup 1-62,,true,,186,274,38,38,http://192.168.1.107:8080/books/update/266,17,0,0
1739580025482,16,Update Book-1,200,,MainThreadGroup 1-62,text,true,,46022,125,38,38,http://192.168.1.107:8080/books,14,0,0
1739580025508,3,JDBC Request,200,OK,MainThreadGroup 1-76,text,true,,7,0,38,38,null,3,0,0
1739580025493,24,Show List Form,200,,MainThreadGroup 1-90,text,true,,46022,185,38,38,http://192.168.1.107:8080/books,21,0,4
1739580025492,39,Delete Book,200,,MainThreadGroup 1-57,text,true,,45942,261,39,39,http://192.168.1.107:8080/books,19,0,0
1739580025492,19,Delete Book-0,302,,MainThreadGroup 1-57,,true,,186,136,39,39,http://192.168.1.107:8080/books/delete/261,19,0,0
1739580025512,19,Delete Book-1,200,,MainThreadGroup 1-57,text,true,,45756,125,39,39,http://192.168.1.107:8080/books,19,0,0
1739580025522,14,Show Edit Form,200,,MainThreadGroup 1-67,text,true,,900,134,38,38,http://192.168.1.107:8080/books/edit/271,14,0,0
1739580025570,4,Show Add Form,200,,MainThreadGroup 1-86,text,true,,842,129,38,38,http://192.168.1.107:8080/books/add,4,0,0
1739580025520,56,Update Book,200,,MainThreadGroup 1-63,text,true,,46208,399,38,38,http://192.168.1.107:8080/books,32,0,0
1739580025520,32,Update Book-0,302,,MainThreadGroup 1-63,,true,,186,274,38,38,http://192.168.1.107:8080/books/update/267,32,0,0
1739580025552,24,Update Book-1,200,,MainThreadGroup 1-63,text,true,,46022,125,38,38,http://192.168.1.107:8080/books,20,0,0
1739580025537,42,Add Book POST,200,,MainThreadGroup 1-81,text,true,,46208,389,38,38,http://192.168.1.107:8080/books,22,0,0
1739580025537,22,Add Book POST-0,302,,MainThreadGroup 1-81,,true,,186,264,38,38,http://192.168.1.107:8080/books/add,22,0,0
1739580025559,20,Add Book POST-1,200,,MainThreadGroup 1-81,text,true,,46022,125,38,38,http://192.168.1.107:8080/books,17,0,0
1739580025581,0,Debug Sampler,200,OK,MainThreadGroup 1-72,text,true,,515,0,38,38,null,0,0,0
1739580025580,25,Show List Form,200,,MainThreadGroup 1-91,text,true,,46022,185,38,38,http://192.168.1.107:8080/books,24,0,0
1739580025599,20,Show Edit Form,200,,MainThreadGroup 1-68,text,true,,900,134,39,39,http://192.168.1.107:8080/books/edit/272,19,0,0
1739580025620,7,JDBC Request,200,OK,MainThreadGroup 1-77,text,true,,7,0,39,39,null,7,0,0
1739580025652,6,Show Add Form,200,,MainThreadGroup 1-87,text,true,,842,129,39,39,http://192.168.1.107:8080/books/add,6,0,0
1739580025664,6,Show Edit Form,200,,MainThreadGroup 1-69,text,true,,900,134,39,39,http://192.168.1.107:8080/books/edit/273,6,0,0
1739580025627,47,Delete Book,200,,MainThreadGroup 1-59,text,true,,46201,261,39,39,http://192.168.1.107:8080/books,17,0,0
1739580025627,17,Delete Book-0,302,,MainThreadGroup 1-59,,true,,186,136,39,39,http://192.168.1.107:8080/books/delete/263,17,0,0
1739580025644,30,Delete Book-1,200,,MainThreadGroup 1-59,text,true,,46015,125,39,39,http://192.168.1.107:8080/books,29,0,0
